               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.026454,           0.0075328,                   0,             0.86523,               0.875,             0.86571,             0.53974,            0.034166,           0.0043659,                   0,            0.004753,            0.004753,            0.004753
                  55,             0.02701,           0.0073296,                   0,             0.87051,              0.8404,             0.84056,             0.51901,            0.034776,           0.0046263,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.026423,           0.0071072,                   0,             0.89254,             0.77873,             0.80075,             0.51044,            0.035525,           0.0044365,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.026145,           0.0072985,                   0,             0.88797,             0.78125,              0.8306,             0.54958,            0.032711,           0.0043364,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02611,           0.0068453,                   0,             0.85108,             0.89319,             0.87564,             0.51731,            0.034476,           0.0044048,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.025739,           0.0072488,                   0,             0.87574,             0.90625,             0.86672,             0.47545,            0.034721,           0.0042901,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024008,           0.0071017,                   0,             0.89596,              0.8125,             0.81557,             0.48096,            0.036403,             0.00437,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.026405,             0.00752,                   0,             0.92558,              0.8125,             0.83801,             0.47419,             0.03643,           0.0045674,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.024621,           0.0070361,                   0,              0.9231,              0.8125,             0.84695,             0.51482,            0.035809,           0.0044544,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.025347,            0.007214,                   0,             0.87403,             0.86747,             0.86433,             0.50533,            0.035424,           0.0043607,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023125,           0.0061459,                   0,             0.93735,             0.93511,             0.90952,             0.51978,            0.035508,            0.004333,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023841,           0.0073402,                   0,              0.9061,             0.90471,             0.88401,             0.53425,            0.034961,           0.0043225,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.02292,           0.0066841,                   0,             0.90605,             0.90415,             0.88531,              0.5061,            0.035062,           0.0043561,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02378,           0.0069548,                   0,             0.87477,             0.87318,             0.85066,             0.53794,            0.035106,            0.004396,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022937,           0.0070309,                   0,             0.87451,              0.8712,              0.8511,             0.48894,            0.036425,           0.0043068,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024339,           0.0071857,                   0,             0.90602,             0.90391,             0.89579,             0.48776,            0.035151,           0.0042467,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.02224,           0.0070181,                   0,             0.90594,             0.90305,             0.88587,             0.52096,            0.034026,           0.0041664,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022784,            0.006909,                   0,             0.87402,               0.875,             0.85578,             0.54805,            0.033475,           0.0041277,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022714,           0.0067419,                   0,             0.87459,              0.8718,             0.84798,              0.5348,            0.034591,           0.0041354,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022238,             0.00664,                   0,             0.86577,             0.84375,              0.8466,             0.51672,            0.035188,           0.0041564,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.022388,           0.0068996,                   0,             0.89773,               0.875,             0.88335,             0.53956,            0.034086,           0.0042939,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022191,           0.0064228,                   0,             0.92845,             0.81107,              0.8517,             0.54093,            0.034607,           0.0043406,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021068,           0.0065799,                   0,             0.89988,               0.875,             0.87857,             0.53496,            0.035463,             0.00442,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021087,           0.0065537,                   0,             0.92429,              0.8125,              0.8356,             0.52245,            0.035349,           0.0045016,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020853,            0.006046,                   0,              0.9244,              0.8125,             0.82604,             0.52132,            0.034964,           0.0045445,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021161,           0.0066994,                   0,             0.95817,             0.84375,             0.86326,             0.52082,            0.035179,           0.0046904,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020584,           0.0062863,                   0,             0.92326,              0.8125,             0.82655,             0.50715,            0.034382,           0.0046337,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020056,           0.0064737,                   0,             0.91939,              0.8125,             0.82445,             0.50757,            0.034179,            0.004576,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020863,            0.006849,                   0,             0.91973,              0.8125,             0.82319,             0.51206,            0.034282,           0.0045311,                   0,            0.001981,            0.001981,            0.001981
